STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00054388,"JOHN MARTIN DAM, CO US",6/5/09,0,82,51
USC00054388,"JOHN MARTIN DAM, CO US",6/6/09,0,92,58
USC00054388,"JOHN MARTIN DAM, CO US",6/7/09,0,91,54
USC00054388,"JOHN MARTIN DAM, CO US",6/8/09,,90,43
USC00054388,"JOHN MARTIN DAM, CO US",6/9/09,0,82,50
USC00054388,"JOHN MARTIN DAM, CO US",6/10/09,0.02,85,55
USC00054388,"JOHN MARTIN DAM, CO US",6/11/09,0,71,52
USC00054388,"JOHN MARTIN DAM, CO US",6/12/09,0.3,76,54
USC00054388,"JOHN MARTIN DAM, CO US",6/13/09,0,80,57
USC00054388,"JOHN MARTIN DAM, CO US",6/14/09,0,78,58
USC00054388,"JOHN MARTIN DAM, CO US",6/15/09,,82,58
USC00054388,"JOHN MARTIN DAM, CO US",6/16/09,0,88,53
USC00054388,"JOHN MARTIN DAM, CO US",6/17/09,0,88,53
USC00054388,"JOHN MARTIN DAM, CO US",6/18/09,0,94,62
USC00054388,"JOHN MARTIN DAM, CO US",6/19/09,0,93,62
USC00054388,"JOHN MARTIN DAM, CO US",6/20/09,0,87,63
USC00054388,"JOHN MARTIN DAM, CO US",6/21/09,0.04,74,55
USC00054388,"JOHN MARTIN DAM, CO US",6/22/09,0.28,95,59
USC00054388,"JOHN MARTIN DAM, CO US",6/23/09,0,96,65
USC00054388,"JOHN MARTIN DAM, CO US",6/24/09,0,99,59
USC00054388,"JOHN MARTIN DAM, CO US",6/25/09,0,99,68
USC00054388,"JOHN MARTIN DAM, CO US",6/26/09,0,100,62
USC00054388,"JOHN MARTIN DAM, CO US",6/27/09,0,102,67
USC00054388,"JOHN MARTIN DAM, CO US",6/28/09,0,93,62
USC00054388,"JOHN MARTIN DAM, CO US",6/29/09,0,94,64
USC00054388,"JOHN MARTIN DAM, CO US",6/30/09,0,96,67
USC00054388,"JOHN MARTIN DAM, CO US",7/1/09,0,96,61
USC00054388,"JOHN MARTIN DAM, CO US",7/2/09,0,102,68
USC00054388,"JOHN MARTIN DAM, CO US",7/3/09,0,98,67
USC00054388,"JOHN MARTIN DAM, CO US",7/4/09,0,99,63
USC00054388,"JOHN MARTIN DAM, CO US",7/5/09,0,90,65
USC00054388,"JOHN MARTIN DAM, CO US",7/6/09,,83,55
USC00054388,"JOHN MARTIN DAM, CO US",7/7/09,0,100,55
USC00054388,"JOHN MARTIN DAM, CO US",7/8/09,0,99,60
USC00054388,"JOHN MARTIN DAM, CO US",7/9/09,0,101,64
USC00054388,"JOHN MARTIN DAM, CO US",7/10/09,0,98,66
USC00054388,"JOHN MARTIN DAM, CO US",7/11/09,0,99,69
USC00054388,"JOHN MARTIN DAM, CO US",7/12/09,0,106,66
USC00054388,"JOHN MARTIN DAM, CO US",7/13/09,0,105,63
USC00054388,"JOHN MARTIN DAM, CO US",7/14/09,0,103,63
USC00054388,"JOHN MARTIN DAM, CO US",7/15/09,0,101,63
USC00054388,"JOHN MARTIN DAM, CO US",7/16/09,0.07,94,61
USC00054388,"JOHN MARTIN DAM, CO US",7/17/09,0,93,60
USC00054388,"JOHN MARTIN DAM, CO US",7/18/09,0,92,60
USC00054388,"JOHN MARTIN DAM, CO US",7/19/09,0,88,60
